vehicle_class,score_band,loan_type,ticket_bucket,base_size_scrub,avg_unique_users,avg_loans_opened,avg_amount_inr_cr,incidence_rate,avg_ticket_size_inr
LPV,700-800,PL,2L-3L,736,1.67,1.67,0.04,0.002264,223590.0
LPV,700-800,PL,3L-4L,736,1.67,1.67,0.05,0.002264,322158.0
LPV,700-800,PL,4L-5L,736,1.17,1.17,0.05,0.001585,408577.0
LPV,700-800,PL,5L+,736,1.78,1.78,0.18,0.002415,985927.0
LPV,700-800,GL,0-50k,736,7.67,8.83,0.02,0.012002,26475.0
LPV,700-800,GL,50k-1L,736,4.92,5.17,0.04,0.00702,71141.0
LPV,700-800,GL,1L-2L,736,4.75,5.0,0.07,0.006793,139578.0
LPV,700-800,GL,2L-3L,736,2.67,2.83,0.07,0.00385,232788.0
LPV,700-800,GL,3L-4L,736,1.57,1.57,0.05,0.002135,347690.0
LPV,700-800,GL,4L-5L,736,1.0,1.0,0.04,0.001359,429600.0
LPV,700-800,GL,5L+,736,1.4,1.4,0.16,0.001902,1166471.0
LPV,700-800,BL,0-50k,736,1.0,1.0,0.0,0.001359,16788.0
LPV,700-800,BL,50k-1L,736,1.0,1.0,0.01,0.001359,63900.0
LPV,700-800,BL,1L-2L,736,1.0,1.0,0.01,0.001359,124500.0
LPV,700-800,BL,2L-3L,736,0,0,0.0,0.0,0.0
LPV,700-800,BL,3L-4L,736,1.0,1.0,0.04,0.001359,354803.0
LPV,700-800,BL,4L-5L,736,0,0,0.0,0.0,0.0
LPV,700-800,BL,5L+,736,1.5,1.5,0.1,0.002038,655528.0
LGV,600-700,PL,0-50k,502,20.5,46.0,0.04,0.091633,7731.0
LGV,600-700,PL,50k-1L,502,2.67,2.92,0.02,0.00581,68303.0
LGV,600-700,PL,1L-2L,502,1.9,2.0,0.02,0.003984,123824.0
LGV,600-700,PL,2L-3L,502,1.0,1.0,0.02,0.001992,213258.0
LGV,600-700,PL,3L-4L,502,1.0,1.0,0.04,0.001992,352672.0
LGV,600-700,PL,4L-5L,502,1.0,1.0,0.05,0.001992,466789.0
LGV,600-700,PL,5L+,502,1.0,1.0,0.07,0.001992,663145.0
LGV,600-700,GL,0-50k,502,7.83,13.83,0.03,0.027556,23299.0
LGV,600-700,GL,50k-1L,502,4.58,4.92,0.04,0.009794,72980.0
LGV,600-700,GL,1L-2L,502,5.25,5.83,0.08,0.01162,137544.0
LGV,600-700,GL,2L-3L,502,2.0,2.0,0.05,0.003984,244169.0
LGV,600-700,GL,3L-4L,502,1.86,1.86,0.06,0.003699,340231.0
LGV,600-700,GL,4L-5L,502,1.29,1.43,0.06,0.002846,450019.0
LGV,600-700,GL,5L+,502,2.09,2.82,0.32,0.005614,1122002.0
LGV,600-700,BL,0-50k,502,1.8,2.0,0.0,0.003984,20131.0
LGV,600-700,BL,50k-1L,502,1.25,1.25,0.01,0.00249,58600.0
LGV,600-700,BL,1L-2L,502,1.17,1.17,0.02,0.002324,147163.0
LGV,600-700,BL,2L-3L,502,1.2,1.2,0.03,0.00239,208333.0
LGV,600-700,BL,3L-4L,502,1.33,1.33,0.04,0.002656,318000.0
LGV,600-700,BL,4L-5L,502,1.0,1.0,0.04,0.001992,450000.0
LGV,600-700,BL,5L+,502,1.0,1.0,0.13,0.001992,1266194.0
LPV,600-700,PL,0-50k,282,22.08,55.5,0.04,0.196809,7109.0
LPV,600-700,PL,50k-1L,282,2.09,2.09,0.01,0.007415,64071.0
LPV,600-700,PL,1L-2L,282,1.56,1.56,0.02,0.005516,128289.0
LPV,600-700,PL,2L-3L,282,1.0,1.0,0.03,0.003546,251758.0
LPV,600-700,PL,3L-4L,282,1.0,1.0,0.03,0.003546,300000.0
LPV,600-700,PL,4L-5L,282,1.0,1.0,0.04,0.003546,434732.0
LPV,600-700,PL,5L+,282,1.0,1.0,0.08,0.003546,770441.0
LPV,600-700,GL,0-50k,282,5.92,8.33,0.02,0.029551,24050.0
LPV,600-700,GL,50k-1L,282,3.0,3.09,0.02,0.010961,69497.0
LPV,600-700,GL,1L-2L,282,3.45,4.18,0.06,0.014829,144870.0
LPV,600-700,GL,2L-3L,282,1.43,1.43,0.03,0.005066,237150.0
LPV,600-700,GL,3L-4L,282,2.0,2.0,0.07,0.007092,325022.0
LPV,600-700,GL,4L-5L,282,1.0,1.0,0.04,0.003546,418500.0
LPV,600-700,GL,5L+,282,1.5,1.5,0.1,0.005319,665667.0
LPV,600-700,BL,0-50k,282,1.57,2.86,0.0,0.010132,8335.0
LPV,600-700,BL,50k-1L,282,1.25,1.5,0.01,0.005319,64767.0
LPV,600-700,BL,1L-2L,282,1.33,1.33,0.01,0.004728,106960.0
LPV,600-700,BL,2L-3L,282,0,0,0.0,0.0,0.0
LPV,600-700,BL,3L-4L,282,1.0,1.0,0.03,0.003546,341200.0
LPV,600-700,BL,4L-5L,282,0,0,0.0,0.0,0.0
LPV,600-700,BL,5L+,282,1.0,1.0,0.08,0.003546,816667.0
3WT,600-700,PL,0-50k,259,14.67,27.25,0.02,0.105212,8946.0
3WT,600-700,PL,50k-1L,259,1.55,1.64,0.01,0.006318,62552.0
3WT,600-700,PL,1L-2L,259,1.29,1.29,0.02,0.004964,130536.0
3WT,600-700,PL,2L-3L,259,1.2,1.2,0.03,0.004633,227516.0
3WT,600-700,PL,3L-4L,259,1.0,1.0,0.03,0.003861,311630.0
3WT,600-700,PL,4L-5L,259,0,0,0.0,0.0,0.0
3WT,600-700,PL,5L+,259,0,0,0.0,0.0,0.0
3WT,600-700,GL,0-50k,259,5.17,7.25,0.02,0.027992,24158.0
3WT,600-700,GL,50k-1L,259,2.45,2.73,0.02,0.01053,70688.0
3WT,600-700,GL,1L-2L,259,2.12,2.12,0.03,0.008205,127529.0
3WT,600-700,GL,2L-3L,259,1.0,2.5,0.07,0.009653,260409.0
3WT,600-700,GL,3L-4L,259,1.2,1.4,0.05,0.005405,330162.0
3WT,600-700,GL,4L-5L,259,1.0,1.0,0.05,0.003861,499000.0
3WT,600-700,GL,5L+,259,1.2,1.2,0.09,0.004633,734167.0
3WT,600-700,BL,0-50k,259,1.43,1.57,0.0,0.006067,22982.0
3WT,600-700,BL,50k-1L,259,1.25,1.25,0.01,0.004826,73800.0
3WT,600-700,BL,1L-2L,259,1.0,1.0,0.01,0.003861,125000.0
3WT,600-700,BL,2L-3L,259,1.33,1.33,0.03,0.005148,205000.0
3WT,600-700,BL,3L-4L,259,0,0,0.0,0.0,0.0
3WT,600-700,BL,4L-5L,259,0,0,0.0,0.0,0.0
3WT,600-700,BL,5L+,259,0,0,0.0,0.0,0.0
LGV,500-600,PL,0-50k,257,6.58,12.58,0.01,0.048962,4660.0
LGV,500-600,PL,50k-1L,257,0,0,0.0,0.0,0.0
LGV,500-600,PL,1L-2L,257,1.0,1.0,0.01,0.003891,128307.0
LGV,500-600,PL,2L-3L,257,1.0,1.0,0.02,0.003891,225736.0
LGV,500-600,PL,3L-4L,257,1.0,1.0,0.04,0.003891,356039.0
LGV,500-600,PL,4L-5L,257,0,0,0.0,0.0,0.0
LGV,500-600,PL,5L+,257,1.0,1.0,0.05,0.003891,520974.0
LGV,500-600,GL,0-50k,257,4.83,6.83,0.01,0.026589,21806.0
LGV,500-600,GL,50k-1L,257,2.45,2.55,0.02,0.009904,70966.0
LGV,500-600,GL,1L-2L,257,1.6,1.8,0.02,0.007004,130572.0
LGV,500-600,GL,2L-3L,257,1.2,1.4,0.03,0.005447,239634.0
LGV,500-600,GL,3L-4L,257,1.0,1.0,0.04,0.003891,361500.0
LGV,500-600,GL,4L-5L,257,1.0,1.0,0.04,0.003891,436500.0
LGV,500-600,GL,5L+,257,1.0,1.0,0.13,0.003891,1327500.0
LGV,500-600,BL,0-50k,257,1.33,1.67,0.0,0.006485,11300.0
LGV,500-600,BL,50k-1L,257,1.0,1.0,0.01,0.003891,75000.0
LGV,500-600,BL,1L-2L,257,1.0,1.0,0.01,0.003891,143750.0
LGV,500-600,BL,2L-3L,257,1.0,1.0,0.02,0.003891,200000.0
LGV,500-600,BL,3L-4L,257,0,0,0.0,0.0,0.0
LGV,500-600,BL,4L-5L,257,0,0,0.0,0.0,0.0
LGV,500-600,BL,5L+,257,1.0,1.0,0.06,0.003891,646120.0
LGV,800+,PL,0-50k,208,1.25,1.25,0.0,0.00601,9723.0
LGV,800+,PL,50k-1L,208,0,0,0.0,0.0,0.0
LGV,800+,PL,1L-2L,208,0,0,0.0,0.0,0.0
LGV,800+,PL,2L-3L,208,0,0,0.0,0.0,0.0
LGV,800+,PL,3L-4L,208,0,0,0.0,0.0,0.0
LGV,800+,PL,4L-5L,208,0,0,0.0,0.0,0.0
LGV,800+,PL,5L+,208,0,0,0.0,0.0,0.0
LGV,800+,GL,0-50k,208,1.0,1.0,0.0,0.004808,32676.0
LGV,800+,GL,50k-1L,208,1.0,1.5,0.01,0.007212,71333.0
LGV,800+,GL,1L-2L,208,1.0,1.25,0.02,0.00601,135400.0
LGV,800+,GL,2L-3L,208,1.0,2.0,0.04,0.009615,200052.0
LGV,800+,GL,3L-4L,208,0,0,0.0,0.0,0.0
LGV,800+,GL,4L-5L,208,1.0,1.0,0.04,0.004808,410000.0
LGV,800+,GL,5L+,208,1.0,1.0,0.08,0.004808,817500.0
LGV,800+,BL,0-50k,208,1.0,1.0,0.0,0.004808,12019.0
LGV,800+,BL,50k-1L,208,0,0,0.0,0.0,0.0
LGV,800+,BL,1L-2L,208,0,0,0.0,0.0,0.0
LGV,800+,BL,2L-3L,208,0,0,0.0,0.0,0.0
LGV,800+,BL,3L-4L,208,0,0,0.0,0.0,0.0
LGV,800+,BL,4L-5L,208,0,0,0.0,0.0,0.0
LGV,800+,BL,5L+,208,0,0,0.0,0.0,0.0
3WT,500-600,PL,0-50k,193,7.75,30.0,0.01,0.15544,4508.0
3WT,500-600,PL,50k-1L,193,1.0,1.0,0.01,0.005181,63483.0
3WT,500-600,PL,1L-2L,193,1.0,1.0,0.01,0.005181,125000.0
3WT,500-600,PL,2L-3L,193,1.0,1.0,0.02,0.005181,200000.0
3WT,500-600,PL,3L-4L,193,1.0,1.0,0.03,0.005181,327884.0
3WT,500-600,PL,4L-5L,193,1.0,1.0,0.05,0.005181,455000.0
3WT,500-600,PL,5L+,193,1.0,1.0,0.06,0.005181,611733.0
3WT,500-600,GL,0-50k,193,5.92,13.83,0.02,0.071675,15639.0
3WT,500-600,GL,50k-1L,193,2.0,2.14,0.02,0.011103,73194.0
3WT,500-600,GL,1L-2L,193,1.5,1.5,0.02,0.007772,148158.0
3WT,500-600,GL,2L-3L,193,1.14,1.71,0.04,0.008882,244025.0
3WT,500-600,GL,3L-4L,193,1.0,1.0,0.03,0.005181,307500.0
3WT,500-600,GL,4L-5L,193,0,0,0.0,0.0,0.0
3WT,500-600,GL,5L+,193,1.0,1.0,0.05,0.005181,512000.0
3WT,500-600,BL,0-50k,193,1.67,1.67,0.0,0.008636,29000.0
3WT,500-600,BL,50k-1L,193,1.0,1.0,0.01,0.005181,55000.0
3WT,500-600,BL,1L-2L,193,1.0,1.0,0.02,0.005181,160000.0
3WT,500-600,BL,2L-3L,193,0,0,0.0,0.0,0.0
3WT,500-600,BL,3L-4L,193,0,0,0.0,0.0,0.0
3WT,500-600,BL,4L-5L,193,0,0,0.0,0.0,0.0
3WT,500-600,BL,5L+,193,0,0,0.0,0.0,0.0
LPV,500-600,PL,0-50k,176,12.67,36.5,0.02,0.207386,5590.0
LPV,500-600,PL,50k-1L,176,1.12,1.12,0.01,0.006392,66216.0
LPV,500-600,PL,1L-2L,176,1.0,1.0,0.01,0.005682,131922.0
LPV,500-600,PL,2L-3L,176,3.0,3.0,0.07,0.017045,231404.0
LPV,500-600,PL,3L-4L,176,1.0,1.0,0.03,0.005682,300000.0
LPV,500-600,PL,4L-5L,176,0,0,0.0,0.0,0.0
LPV,500-600,PL,5L+,176,1.0,1.0,0.07,0.005682,726967.0
LPV,500-600,GL,0-50k,176,5.0,16.25,0.03,0.09233,16458.0
LPV,500-600,GL,50k-1L,176,1.5,2.2,0.01,0.0125,65799.0
LPV,500-600,GL,1L-2L,176,2.22,2.44,0.03,0.013889,132506.0
LPV,500-600,GL,2L-3L,176,1.33,2.11,0.05,0.011995,222993.0
LPV,500-600,GL,3L-4L,176,2.0,2.0,0.06,0.011364,312400.0
LPV,500-600,GL,4L-5L,176,1.0,1.0,0.04,0.005682,412799.0
LPV,500-600,GL,5L+,176,1.0,1.0,0.08,0.005682,834000.0
LPV,500-600,BL,0-50k,176,0,0,0.0,0.0,0.0
LPV,500-600,BL,50k-1L,176,1.0,1.0,0.01,0.005682,50000.0
LPV,500-600,BL,1L-2L,176,1.0,1.0,0.01,0.005682,100000.0
LPV,500-600,BL,2L-3L,176,1.0,1.0,0.02,0.005682,247000.0
LPV,500-600,BL,3L-4L,176,0,0,0.0,0.0,0.0
LPV,500-600,BL,4L-5L,176,0,0,0.0,0.0,0.0
LPV,500-600,BL,5L+,176,0,0,0.0,0.0,0.0
3WT,800+,PL,0-50k,161,1.0,1.0,0.0,0.006211,500.0
3WT,800+,PL,50k-1L,161,0,0,0.0,0.0,0.0
3WT,800+,PL,1L-2L,161,0,0,0.0,0.0,0.0
3WT,800+,PL,2L-3L,161,0,0,0.0,0.0,0.0
3WT,800+,PL,3L-4L,161,0,0,0.0,0.0,0.0
3WT,800+,PL,4L-5L,161,0,0,0.0,0.0,0.0
3WT,800+,PL,5L+,161,1.0,1.0,0.06,0.006211,617412.0
3WT,800+,GL,0-50k,161,1.0,1.0,0.0,0.006211,27030.0
3WT,800+,GL,50k-1L,161,1.0,1.0,0.01,0.006211,90000.0
3WT,800+,GL,1L-2L,161,1.0,1.0,0.01,0.006211,136667.0
3WT,800+,GL,2L-3L,161,1.0,1.0,0.02,0.006211,236543.0
3WT,800+,GL,3L-4L,161,0,0,0.0,0.0,0.0
3WT,800+,GL,4L-5L,161,0,0,0.0,0.0,0.0
3WT,800+,GL,5L+,161,0,0,0.0,0.0,0.0
3WT,800+,BL,0-50k,161,0,0,0.0,0.0,0.0
3WT,800+,BL,50k-1L,161,0,0,0.0,0.0,0.0
3WT,800+,BL,1L-2L,161,0,0,0.0,0.0,0.0
3WT,800+,BL,2L-3L,161,0,0,0.0,0.0,0.0
3WT,800+,BL,3L-4L,161,0,0,0.0,0.0,0.0
3WT,800+,BL,4L-5L,161,0,0,0.0,0.0,0.0
3WT,800+,BL,5L+,161,0,0,0.0,0.0,0.0
LPV,800+,PL,0-50k,126,1.0,1.0,0.0,0.007937,41808.0
LPV,800+,PL,50k-1L,126,1.0,1.0,0.01,0.007937,50000.0
LPV,800+,PL,1L-2L,126,1.0,1.0,0.01,0.007937,100000.0
LPV,800+,PL,2L-3L,126,1.0,1.0,0.02,0.007937,230000.0
LPV,800+,PL,3L-4L,126,1.0,1.0,0.03,0.007937,300000.0
LPV,800+,PL,4L-5L,126,0,0,0.0,0.0,0.0
LPV,800+,PL,5L+,126,0,0,0.0,0.0,0.0
LPV,800+,GL,0-50k,126,1.0,1.0,0.0,0.007937,38628.0
LPV,800+,GL,50k-1L,126,1.0,1.0,0.01,0.007937,67512.0
LPV,800+,GL,1L-2L,126,0,0,0.0,0.0,0.0
LPV,800+,GL,2L-3L,126,0,0,0.0,0.0,0.0
LPV,800+,GL,3L-4L,126,1.0,1.0,0.03,0.007937,304491.0
LPV,800+,GL,4L-5L,126,0,0,0.0,0.0,0.0
LPV,800+,GL,5L+,126,0,0,0.0,0.0,0.0
LPV,800+,BL,0-50k,126,0,0,0.0,0.0,0.0
LPV,800+,BL,50k-1L,126,0,0,0.0,0.0,0.0
LPV,800+,BL,1L-2L,126,0,0,0.0,0.0,0.0
LPV,800+,BL,2L-3L,126,0,0,0.0,0.0,0.0
LPV,800+,BL,3L-4L,126,0,0,0.0,0.0,0.0
LPV,800+,BL,4L-5L,126,0,0,0.0,0.0,0.0
LPV,800+,BL,5L+,126,0,0,0.0,0.0,0.0
3WT,<500,PL,0-50k,86,3.17,6.17,0.0,0.071705,4242.0
3WT,<500,PL,50k-1L,86,0,0,0.0,0.0,0.0
3WT,<500,PL,1L-2L,86,1.0,1.0,0.01,0.011628,100000.0
3WT,<500,PL,2L-3L,86,0,0,0.0,0.0,0.0
3WT,<500,PL,3L-4L,86,0,0,0.0,0.0,0.0
3WT,<500,PL,4L-5L,86,0,0,0.0,0.0,0.0
3WT,<500,PL,5L+,86,0,0,0.0,0.0,0.0
3WT,<500,GL,0-50k,86,1.89,3.33,0.01,0.03876,21022.0
3WT,<500,GL,50k-1L,86,1.5,2.17,0.02,0.025194,73363.0
3WT,<500,GL,1L-2L,86,1.0,1.0,0.02,0.011628,166404.0
3WT,<500,GL,2L-3L,86,2.0,2.0,0.05,0.023256,240000.0
3WT,<500,GL,3L-4L,86,0,0,0.0,0.0,0.0
3WT,<500,GL,4L-5L,86,0,0,0.0,0.0,0.0
3WT,<500,GL,5L+,86,0,0,0.0,0.0,0.0
3WT,<500,BL,0-50k,86,2.0,2.0,0.0,0.023256,15000.0
3WT,<500,BL,50k-1L,86,1.0,2.0,0.01,0.023256,50000.0
3WT,<500,BL,1L-2L,86,0,0,0.0,0.0,0.0
3WT,<500,BL,2L-3L,86,0,0,0.0,0.0,0.0
3WT,<500,BL,3L-4L,86,0,0,0.0,0.0,0.0
3WT,<500,BL,4L-5L,86,0,0,0.0,0.0,0.0
3WT,<500,BL,5L+,86,0,0,0.0,0.0,0.0
LGV,<500,PL,0-50k,83,2.75,9.25,0.0,0.111446,3558.0
LGV,<500,PL,50k-1L,83,0,0,0.0,0.0,0.0
LGV,<500,PL,1L-2L,83,0,0,0.0,0.0,0.0
LGV,<500,PL,2L-3L,83,0,0,0.0,0.0,0.0
LGV,<500,PL,3L-4L,83,0,0,0.0,0.0,0.0
LGV,<500,PL,4L-5L,83,0,0,0.0,0.0,0.0
LGV,<500,PL,5L+,83,0,0,0.0,0.0,0.0
LGV,<500,GL,0-50k,83,2.25,6.62,0.01,0.079819,15268.0
LGV,<500,GL,50k-1L,83,1.17,1.5,0.01,0.018072,70355.0
LGV,<500,GL,1L-2L,83,1.25,1.75,0.03,0.021084,143900.0
LGV,<500,GL,2L-3L,83,1.0,1.0,0.02,0.012048,249000.0
LGV,<500,GL,3L-4L,83,1.0,1.0,0.03,0.012048,335251.0
LGV,<500,GL,4L-5L,83,0,0,0.0,0.0,0.0
LGV,<500,GL,5L+,83,0,0,0.0,0.0,0.0
LGV,<500,BL,0-50k,83,0,0,0.0,0.0,0.0
LGV,<500,BL,50k-1L,83,0,0,0.0,0.0,0.0
LGV,<500,BL,1L-2L,83,0,0,0.0,0.0,0.0
LGV,<500,BL,2L-3L,83,0,0,0.0,0.0,0.0
LGV,<500,BL,3L-4L,83,0,0,0.0,0.0,0.0
LGV,<500,BL,4L-5L,83,0,0,0.0,0.0,0.0
LGV,<500,BL,5L+,83,0,0,0.0,0.0,0.0
LPV,<500,PL,0-50k,78,2.73,3.64,0.0,0.04662,4505.0
LPV,<500,PL,50k-1L,78,1.0,1.0,0.01,0.012821,60000.0
LPV,<500,PL,1L-2L,78,1.0,1.0,0.01,0.012821,100000.0
LPV,<500,PL,2L-3L,78,0,0,0.0,0.0,0.0
LPV,<500,PL,3L-4L,78,0,0,0.0,0.0,0.0
LPV,<500,PL,4L-5L,78,0,0,0.0,0.0,0.0
LPV,<500,PL,5L+,78,0,0,0.0,0.0,0.0
LPV,<500,GL,0-50k,78,2.09,3.18,0.01,0.040793,23277.0
LPV,<500,GL,50k-1L,78,1.0,1.0,0.01,0.012821,61602.0
LPV,<500,GL,1L-2L,78,1.33,1.33,0.02,0.017094,134102.0
LPV,<500,GL,2L-3L,78,1.0,1.0,0.02,0.012821,249018.0
LPV,<500,GL,3L-4L,78,1.0,1.0,0.03,0.012821,324750.0
LPV,<500,GL,4L-5L,78,0,0,0.0,0.0,0.0
LPV,<500,GL,5L+,78,1.0,1.0,0.06,0.012821,553282.0
LPV,<500,BL,0-50k,78,0,0,0.0,0.0,0.0
LPV,<500,BL,50k-1L,78,0,0,0.0,0.0,0.0
LPV,<500,BL,1L-2L,78,0,0,0.0,0.0,0.0
LPV,<500,BL,2L-3L,78,1.0,1.0,0.02,0.012821,200000.0
LPV,<500,BL,3L-4L,78,0,0,0.0,0.0,0.0
LPV,<500,BL,4L-5L,78,0,0,0.0,0.0,0.0
LPV,<500,BL,5L+,78,0,0,0.0,0.0,0.0
3WT,No score,PL,0-50k,45,0,0,0.0,0.0,0.0
3WT,No score,PL,50k-1L,45,0,0,0.0,0.0,0.0
3WT,No score,PL,1L-2L,45,0,0,0.0,0.0,0.0
3WT,No score,PL,2L-3L,45,0,0,0.0,0.0,0.0
3WT,No score,PL,3L-4L,45,0,0,0.0,0.0,0.0
3WT,No score,PL,4L-5L,45,0,0,0.0,0.0,0.0
3WT,No score,PL,5L+,45,0,0,0.0,0.0,0.0
3WT,No score,GL,0-50k,45,0,0,0.0,0.0,0.0
3WT,No score,GL,50k-1L,45,0,0,0.0,0.0,0.0
3WT,No score,GL,1L-2L,45,0,0,0.0,0.0,0.0
3WT,No score,GL,2L-3L,45,0,0,0.0,0.0,0.0
3WT,No score,GL,3L-4L,45,0,0,0.0,0.0,0.0
3WT,No score,GL,4L-5L,45,0,0,0.0,0.0,0.0
3WT,No score,GL,5L+,45,0,0,0.0,0.0,0.0
3WT,No score,BL,0-50k,45,0,0,0.0,0.0,0.0
3WT,No score,BL,50k-1L,45,0,0,0.0,0.0,0.0
3WT,No score,BL,1L-2L,45,0,0,0.0,0.0,0.0
3WT,No score,BL,2L-3L,45,0,0,0.0,0.0,0.0
3WT,No score,BL,3L-4L,45,0,0,0.0,0.0,0.0
3WT,No score,BL,4L-5L,45,0,0,0.0,0.0,0.0
3WT,No score,BL,5L+,45,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,PL,0-50k,39,1.5,2.0,0.0,0.051282,11137.0
COMMERCIAL,700-800,PL,50k-1L,39,1.0,1.0,0.01,0.025641,68000.0
COMMERCIAL,700-800,PL,1L-2L,39,1.0,1.0,0.01,0.025641,100000.0
COMMERCIAL,700-800,PL,2L-3L,39,1.0,1.0,0.02,0.025641,200000.0
COMMERCIAL,700-800,PL,3L-4L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,PL,4L-5L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,PL,5L+,39,1.0,1.0,0.13,0.025641,1310000.0
COMMERCIAL,700-800,GL,0-50k,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,GL,50k-1L,39,1.0,1.0,0.01,0.025641,75089.0
COMMERCIAL,700-800,GL,1L-2L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,GL,2L-3L,39,1.0,1.0,0.02,0.025641,240000.0
COMMERCIAL,700-800,GL,3L-4L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,GL,4L-5L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,GL,5L+,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,BL,0-50k,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,BL,50k-1L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,BL,1L-2L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,BL,2L-3L,39,1.0,1.0,0.02,0.025641,200850.0
COMMERCIAL,700-800,BL,3L-4L,39,1.0,1.0,0.03,0.025641,302018.0
COMMERCIAL,700-800,BL,4L-5L,39,0,0,0.0,0.0,0.0
COMMERCIAL,700-800,BL,5L+,39,0,0,0.0,0.0,0.0
LGV,No score,PL,0-50k,37,0,0,0.0,0.0,0.0
LGV,No score,PL,50k-1L,37,0,0,0.0,0.0,0.0
LGV,No score,PL,1L-2L,37,0,0,0.0,0.0,0.0
LGV,No score,PL,2L-3L,37,0,0,0.0,0.0,0.0
LGV,No score,PL,3L-4L,37,0,0,0.0,0.0,0.0
LGV,No score,PL,4L-5L,37,0,0,0.0,0.0,0.0
LGV,No score,PL,5L+,37,0,0,0.0,0.0,0.0
LGV,No score,GL,0-50k,37,0,0,0.0,0.0,0.0
LGV,No score,GL,50k-1L,37,0,0,0.0,0.0,0.0
LGV,No score,GL,1L-2L,37,0,0,0.0,0.0,0.0
LGV,No score,GL,2L-3L,37,0,0,0.0,0.0,0.0
LGV,No score,GL,3L-4L,37,0,0,0.0,0.0,0.0
LGV,No score,GL,4L-5L,37,0,0,0.0,0.0,0.0
LGV,No score,GL,5L+,37,0,0,0.0,0.0,0.0
LGV,No score,BL,0-50k,37,0,0,0.0,0.0,0.0
LGV,No score,BL,50k-1L,37,0,0,0.0,0.0,0.0
LGV,No score,BL,1L-2L,37,0,0,0.0,0.0,0.0
LGV,No score,BL,2L-3L,37,0,0,0.0,0.0,0.0
LGV,No score,BL,3L-4L,37,0,0,0.0,0.0,0.0
LGV,No score,BL,4L-5L,37,0,0,0.0,0.0,0.0
LGV,No score,BL,5L+,37,0,0,0.0,0.0,0.0
LPV,No score,PL,0-50k,20,0,0,0.0,0.0,0.0
LPV,No score,PL,50k-1L,20,0,0,0.0,0.0,0.0
LPV,No score,PL,1L-2L,20,0,0,0.0,0.0,0.0
LPV,No score,PL,2L-3L,20,0,0,0.0,0.0,0.0
LPV,No score,PL,3L-4L,20,0,0,0.0,0.0,0.0
LPV,No score,PL,4L-5L,20,0,0,0.0,0.0,0.0
LPV,No score,PL,5L+,20,0,0,0.0,0.0,0.0
LPV,No score,GL,0-50k,20,0,0,0.0,0.0,0.0
LPV,No score,GL,50k-1L,20,0,0,0.0,0.0,0.0
LPV,No score,GL,1L-2L,20,0,0,0.0,0.0,0.0
LPV,No score,GL,2L-3L,20,1.0,1.0,0.02,0.05,200000.0
LPV,No score,GL,3L-4L,20,0,0,0.0,0.0,0.0
LPV,No score,GL,4L-5L,20,0,0,0.0,0.0,0.0
LPV,No score,GL,5L+,20,0,0,0.0,0.0,0.0
LPV,No score,BL,0-50k,20,0,0,0.0,0.0,0.0
LPV,No score,BL,50k-1L,20,0,0,0.0,0.0,0.0
LPV,No score,BL,1L-2L,20,0,0,0.0,0.0,0.0
LPV,No score,BL,2L-3L,20,0,0,0.0,0.0,0.0
LPV,No score,BL,3L-4L,20,0,0,0.0,0.0,0.0
LPV,No score,BL,4L-5L,20,0,0,0.0,0.0,0.0
LPV,No score,BL,5L+,20,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,PL,0-50k,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,PL,50k-1L,9,1.0,1.0,0.01,0.111111,56882.0
COMMERCIAL,600-700,PL,1L-2L,9,1.0,1.0,0.01,0.111111,106262.0
COMMERCIAL,600-700,PL,2L-3L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,PL,3L-4L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,PL,4L-5L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,PL,5L+,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,GL,0-50k,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,GL,50k-1L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,GL,1L-2L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,GL,2L-3L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,GL,3L-4L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,GL,4L-5L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,GL,5L+,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,BL,0-50k,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,BL,50k-1L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,BL,1L-2L,9,1.0,1.0,0.02,0.111111,190000.0
